teacher_id,first_name,last_name,department_id
1,Martha,Lucero,1
3,Deborah,Robinson,3
4,Alexander,Sanchez,4
5,Andrew,Salazar,5
6,Mary,Perry,6
8,Robert,Abbott,8
11,Julie,Mann,2
13,Joseph,Wood,4
14,Rachel,Giles,5
18,John,Medina,9
20,Kristen,Romero,2
21,Thomas,Edwards,3
23,Jennifer,Robbins,5
25,Traci,Marshall,7
26,Audrey,Brown,8
27,Christine,Crawford,9
28,Ryan,Benton,1
29,George,Castro,2
31,Michael,Dillon,4
32,Dylan,Fleming,5
34,Ashley,Valentine,7
38,Jason,Hayes,2
43,Erin,Edwards,7
44,Adam,Lynch,8
48,Jessica,Oconnor,3
52,Troy,Wilson,7
54,Audrey,Rush,9
56,Heather,Taylor,2
59,Natasha,Porter,5
61,Jeremy,Duke,7
62,Sheila,Evans,2
63,Mark,Lynch,3
64,Brittany,Farmer,7
65,Joshua,Osborne,9
66,Joseph,Smith,5
67,Jodi,Brown,6
68,Sandra,Jones,4
69,Sharon,Wyatt,6
70,Lucas,Hunter,4
71,Jimmy,Thompson,8
72,Megan,Mcbride,1
73,Tamara,Lawrence,2
74,Megan,Edwards,4
75,Cynthia,Wilson,4
76,Jordan,Morse,2
77,Cassandra,Lane,8
78,Nicholas,Anderson,8
79,Marcus,Alexander,8
80,Tammy,Hall,9
81,Melissa,Moore,9
82,Nicholas,Miller,1
83,Patrick,Sanchez,1
84,Marc,Hernandez,9
85,Ronnie,Roberts,3
86,Jason,Cooper,7
87,Maria,Nguyen,1
88,Leslie,Terry,1
89,Sarah,Wallace,1
90,Michael,Anderson,6
91,Michael,Boyer,1
92,Bruce,Lewis,2
93,John,Francis,5
