teacher_id,first_name,last_name,department_id
1,Martha,Lucero,1
3,Deborah,Robinson,3
4,Alexander,Sanchez,4
5,Andrew,Salazar,5
8,Robert,Abbott,8
11,Julie,Mann,2
13,Joseph,Wood,4
14,Rachel,Giles,5
18,John,Medina,9
20,Kristen,Romero,2
21,Thomas,Edwards,3
23,Jennifer,Robbins,5
25,Traci,Marshall,7
26,Audrey,Brown,8
27,Christine,Crawford,9
28,Ryan,Benton,1
29,George,Castro,2
32,Dylan,Fleming,5
34,Ashley,Valentine,7
38,Jason,Hayes,2
43,Erin,Edwards,7
44,Adam,Lynch,8
48,Jessica,Oconnor,3
52,Troy,Wilson,7
54,Audrey,Rush,9
56,Heather,Taylor,2
59,Natasha,Porter,5
62,Catherine,Ford,1
63,Shannon,Jones,9
64,Rhonda,Chase,6
65,Brent,Pearson,9
66,Joshua,Smith,4
67,Lori,Powell,4
68,Amanda,Allen,2
69,John,Watts,5
70,Troy,Delgado,2
71,Ruben,Webster,2
72,David,Gonzalez,1
73,Steven,Long,9
74,Matthew,Hayes,4
75,Jill,Faulkner,5
76,Dennis,Fox,9
77,Megan,Sandoval,9
78,Kristina,Thomas,2
79,Elizabeth,Thomas,5
80,William,West,3
81,Misty,Bryant,2
82,Jean,Anderson,4
83,Matthew,Sullivan,6
84,Alexander,Reyes,7
85,Adam,Johnson,9
86,Pamela,Roberts,1
87,Hannah,White,8
88,John,Smith,4
89,Luis,Kirk,1
90,Lori,Flores,8
91,Deborah,Lozano,7
92,Crystal,Fowler,6
93,Shirley,Lee,1
94,Nicole,Chavez,3
95,Jaime,Rodriguez,6
96,Robert,Rose,3
